,Loan_ID,Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Total,Gender_Male,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Married_Yes,Self_Employed_Yes,Loan_Status_Y
0,LP001002,0,128.0,360.0,1.0,5849.0,1,0,0,1,0,0,1
1,LP001003,1,128.0,360.0,1.0,6091.0,1,0,0,0,1,0,0
2,LP001005,0,66.0,360.0,1.0,3000.0,1,0,0,1,1,1,1
3,LP001006,0,120.0,360.0,1.0,4941.0,1,1,0,1,1,0,1
4,LP001008,0,141.0,360.0,1.0,6000.0,1,0,0,1,0,0,1
5,LP001011,2,267.0,360.0,1.0,9613.0,1,0,0,1,1,1,1
6,LP001013,0,95.0,360.0,1.0,3849.0,1,1,0,1,1,0,1
7,LP001014,3,158.0,360.0,0.0,5540.0,1,0,1,0,1,0,0
8,LP001018,2,168.0,360.0,1.0,5532.0,1,0,0,1,1,0,1
9,LP001020,1,349.0,360.0,1.0,23809.0,1,0,1,0,1,0,0
10,LP001024,2,70.0,360.0,1.0,3900.0,1,0,0,1,1,0,1
11,LP001027,2,109.0,360.0,1.0,4340.0,1,0,0,1,1,0,1
12,LP001028,2,200.0,360.0,1.0,11179.0,1,0,0,1,1,0,1
13,LP001029,0,114.0,360.0,1.0,4693.0,1,0,0,0,0,0,0
14,LP001030,2,17.0,120.0,1.0,2385.0,1,0,0,1,1,0,1
15,LP001032,0,125.0,360.0,1.0,4950.0,1,0,0,1,0,0,1
16,LP001034,1,100.0,240.0,1.0,3596.0,1,1,0,1,0,0,1
17,LP001036,0,76.0,360.0,0.0,3510.0,0,0,0,1,0,0,0
18,LP001038,0,133.0,360.0,1.0,4887.0,1,1,0,0,1,0,0
19,LP001041,0,115.0,360.0,1.0,6100.0,1,0,0,1,1,0,1
20,LP001043,0,104.0,360.0,0.0,7660.0,1,1,0,1,1,0,0
21,LP001046,1,315.0,360.0,1.0,11580.0,1,0,0,1,1,0,1
22,LP001047,0,116.0,360.0,0.0,4511.0,1,1,1,0,1,0,0
23,LP001050,2,112.0,360.0,0.0,5282.0,1,1,0,0,1,0,0
24,LP001052,1,151.0,360.0,1.0,6642.0,1,0,1,0,1,0,0
25,LP001066,0,191.0,360.0,1.0,9560.0,1,0,1,0,1,1,1
26,LP001068,0,122.0,360.0,1.0,5052.0,1,0,1,0,1,0,1
27,LP001073,2,110.0,360.0,1.0,5266.0,1,1,0,1,1,0,1
28,LP001086,0,35.0,360.0,1.0,1442.0,1,1,0,1,0,0,0
29,LP001087,2,120.0,360.0,1.0,5833.0,0,0,1,0,0,0,1
30,LP001091,1,201.0,360.0,1.0,7535.0,1,0,0,1,1,0,0
31,LP001095,0,74.0,360.0,1.0,3167.0,1,0,0,1,0,0,0
32,LP001097,1,106.0,360.0,1.0,4692.0,1,0,0,0,0,1,0
33,LP001098,0,114.0,360.0,1.0,5167.0,1,0,1,0,1,0,1
34,LP001100,3,320.0,360.0,1.0,15500.0,1,0,0,0,0,0,0
35,LP001106,0,128.0,360.0,1.0,4342.0,1,0,0,1,1,0,1
36,LP001109,0,100.0,360.0,0.0,3158.0,1,0,0,1,1,0,0
37,LP001112,0,144.0,360.0,1.0,5126.0,0,0,1,0,1,0,1
38,LP001114,0,184.0,360.0,1.0,11376.0,1,0,0,1,0,0,1
39,LP001116,0,110.0,360.0,1.0,5416.0,1,1,1,0,0,0,1
40,LP001119,0,80.0,360.0,1.0,3600.0,1,0,0,1,0,0,0
41,LP001120,0,47.0,360.0,1.0,3013.0,1,0,0,1,0,0,1
42,LP001123,0,75.0,360.0,1.0,2400.0,1,0,0,1,1,0,1
43,LP001131,0,134.0,360.0,1.0,6277.0,1,0,1,0,1,0,1
44,LP001136,0,96.0,360.0,1.0,4695.0,1,1,0,1,1,1,1
45,LP001137,0,88.0,360.0,1.0,3410.0,0,0,0,1,0,0,1
46,LP001138,1,44.0,360.0,1.0,5649.0,1,0,0,1,1,0,1
47,LP001144,0,144.0,360.0,1.0,5821.0,1,0,0,1,1,0,1
48,LP001146,0,120.0,360.0,0.0,6085.0,0,0,0,1,1,0,0
49,LP001151,0,144.0,360.0,1.0,6275.0,0,0,1,0,0,0,1
50,LP001155,0,100.0,360.0,1.0,3572.0,0,1,1,0,1,0,1
51,LP001157,0,120.0,360.0,1.0,3086.0,0,0,1,0,0,0,1
52,LP001164,0,112.0,360.0,1.0,4230.0,0,0,1,0,0,0,0
53,LP001179,2,134.0,360.0,1.0,4616.0,1,0,0,1,1,0,0
54,LP001186,1,286.0,360.0,0.0,11500.0,0,0,0,1,1,1,0
55,LP001194,2,97.0,360.0,1.0,3875.0,1,0,1,0,1,0,1
56,LP001195,0,96.0,360.0,1.0,3723.0,1,0,1,0,1,0,1
57,LP001197,0,135.0,360.0,1.0,5566.0,1,0,0,0,1,0,0
58,LP001198,1,180.0,360.0,1.0,10330.0,1,0,0,1,1,0,1
59,LP001199,2,144.0,360.0,1.0,6216.0,1,1,0,1,1,0,1
60,LP001205,0,120.0,360.0,1.0,6296.0,1,0,0,1,1,0,1
61,LP001206,3,99.0,360.0,1.0,3029.0,1,0,0,1,1,0,1
62,LP001207,0,165.0,180.0,0.0,6058.0,1,1,0,0,1,1,0
63,LP001213,1,128.0,360.0,0.0,4945.0,1,0,0,0,1,0,0
64,LP001222,0,116.0,360.0,0.0,4166.0,0,0,1,0,0,0,0
65,LP001225,0,258.0,360.0,1.0,10321.0,1,0,1,0,1,0,0
66,LP001228,0,126.0,180.0,0.0,5454.0,1,1,0,1,0,0,0
67,LP001233,1,312.0,360.0,1.0,10750.0,1,0,0,1,1,0,1
68,LP001238,3,125.0,60.0,1.0,7100.0,1,1,0,1,1,1,1
69,LP001241,0,136.0,360.0,0.0,4300.0,0,0,1,0,0,0,0
70,LP001243,0,172.0,360.0,1.0,6274.0,1,0,0,1,1,0,1
71,LP001245,2,97.0,360.0,1.0,3750.0,1,1,1,0,1,1,1
72,LP001248,0,81.0,300.0,1.0,3500.0,1,0,1,0,0,0,1
73,LP001250,3,95.0,360.0,0.0,4755.0,1,1,1,0,1,0,0
74,LP001253,3,187.0,360.0,1.0,7040.0,1,0,1,0,1,1,1
75,LP001255,0,113.0,480.0,1.0,3750.0,1,0,0,1,0,0,0
76,LP001256,0,176.0,360.0,1.0,8500.0,1,0,0,1,0,0,0
77,LP001259,1,110.0,360.0,1.0,4022.0,1,0,0,1,1,1,0
78,LP001263,3,180.0,300.0,0.0,7167.0,1,0,1,0,1,0,0
79,LP001264,3,130.0,360.0,1.0,5499.0,1,1,1,0,1,1,1
80,LP001265,0,111.0,360.0,1.0,3846.0,0,0,1,0,0,0,1
81,LP001266,1,128.0,360.0,1.0,2395.0,1,0,1,0,1,1,1
82,LP001267,2,167.0,360.0,1.0,3259.0,0,0,0,1,1,0,0
83,LP001273,0,265.0,360.0,1.0,8250.0,1,0,1,0,1,0,0
84,LP001275,1,50.0,240.0,1.0,3988.0,1,0,0,1,1,0,1
85,LP001279,0,136.0,360.0,1.0,4897.0,1,0,1,0,0,0,1
86,LP001280,2,99.0,360.0,1.0,5333.0,1,1,1,0,1,0,1
87,LP001282,0,104.0,360.0,1.0,4618.0,1,0,1,0,1,0,1
88,LP001289,0,210.0,360.0,1.0,8566.0,1,0,0,1,0,0,1
89,LP001310,0,175.0,360.0,1.0,9862.0,1,0,1,0,1,0,1
90,LP001316,0,131.0,360.0,1.0,5858.0,1,0,1,0,1,0,1
91,LP001318,2,188.0,180.0,1.0,11904.0,1,0,1,0,1,0,1
92,LP001319,2,81.0,360.0,1.0,5093.0,1,1,0,1,1,0,1
93,LP001322,0,122.0,360.0,1.0,4133.0,1,0,1,0,0,0,1
94,LP001325,0,25.0,120.0,1.0,3620.0,1,1,1,0,0,0,1
95,LP001326,0,128.0,360.0,1.0,6782.0,1,0,0,1,0,0,0
96,LP001327,0,137.0,360.0,1.0,4786.0,0,0,1,0,1,0,1
97,LP001333,0,50.0,360.0,1.0,2974.0,1,0,1,0,1,0,1
98,LP001334,0,115.0,180.0,1.0,4188.0,1,1,1,0,1,0,1
99,LP001343,0,131.0,360.0,1.0,5300.0,1,0,1,0,1,0,1
100,LP001345,2,133.0,180.0,1.0,7551.0,1,1,0,1,1,0,1
