Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total
LP001002,Male,No,0,Graduate,No,,360.0,1.0,Urban,Y,5849.0
LP001003,Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,N,6091.0
LP001005,Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,Y,3000.0
LP001006,Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,Y,4941.0
LP001008,Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,Y,6000.0
LP001011,Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,Y,9613.0
LP001013,Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,Y,3849.0
LP001014,Male,Yes,3,Graduate,No,158.0,360.0,0.0,Semiurban,N,5540.0
LP001018,Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,Y,5532.0
LP001020,Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,N,23809.0
LP001024,Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,Y,3900.0
LP001027,Male,Yes,2,Graduate,,109.0,360.0,1.0,Urban,Y,4340.0
LP001028,Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,Y,11179.0
LP001029,Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,N,4693.0
LP001030,Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,Y,2385.0
LP001032,Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,Y,4950.0
LP001034,Male,No,1,Not Graduate,No,100.0,240.0,,Urban,Y,3596.0
LP001036,Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,N,3510.0
LP001038,Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,N,4887.0
LP001041,Male,Yes,0,Graduate,,115.0,,1.0,Urban,Y,6100.0
LP001043,Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,N,7660.0
LP001046,Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,Y,11580.0
LP001047,Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,N,4511.0
LP001050,,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,N,5282.0
LP001052,Male,Yes,1,Graduate,,151.0,360.0,,Semiurban,N,6642.0
LP001066,Male,Yes,0,Graduate,Yes,191.0,360.0,1.0,Semiurban,Y,9560.0
LP001068,Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,5052.0
LP001073,Male,Yes,2,Not Graduate,No,110.0,360.0,1.0,Urban,Y,5266.0
LP001086,Male,No,0,Not Graduate,No,35.0,360.0,1.0,Urban,N,1442.0
LP001087,Female,No,2,Graduate,,120.0,360.0,1.0,Semiurban,Y,5833.0
LP001091,Male,Yes,1,Graduate,,201.0,360.0,,Urban,N,7535.0
LP001095,Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,N,3167.0
LP001097,Male,No,1,Graduate,Yes,106.0,360.0,1.0,Rural,N,4692.0
LP001098,Male,Yes,0,Graduate,No,114.0,360.0,1.0,Semiurban,Y,5167.0
LP001100,Male,No,3,Graduate,No,320.0,360.0,1.0,Rural,N,15500.0
LP001106,Male,Yes,0,Graduate,No,,360.0,1.0,Urban,Y,4342.0
LP001109,Male,Yes,0,Graduate,No,100.0,,0.0,Urban,N,3158.0
LP001112,Female,Yes,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,5126.0
LP001114,Male,No,0,Graduate,No,184.0,360.0,1.0,Urban,Y,11376.0
LP001116,Male,No,0,Not Graduate,No,110.0,360.0,1.0,Semiurban,Y,5416.0
LP001119,Male,No,0,Graduate,No,80.0,360.0,1.0,Urban,N,3600.0
LP001120,Male,No,0,Graduate,No,47.0,360.0,1.0,Urban,Y,3013.0
LP001123,Male,Yes,0,Graduate,No,75.0,360.0,,Urban,Y,2400.0
LP001131,Male,Yes,0,Graduate,No,134.0,360.0,1.0,Semiurban,Y,6277.0
LP001136,Male,Yes,0,Not Graduate,Yes,96.0,,1.0,Urban,Y,4695.0
LP001137,Female,No,0,Graduate,No,88.0,,1.0,Urban,Y,3410.0
LP001138,Male,Yes,1,Graduate,No,44.0,360.0,1.0,Urban,Y,5649.0
LP001144,Male,Yes,0,Graduate,No,144.0,360.0,1.0,Urban,Y,5821.0
LP001146,Female,Yes,0,Graduate,No,120.0,360.0,0.0,Urban,N,6085.0
LP001151,Female,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,6275.0
LP001155,Female,Yes,0,Not Graduate,No,100.0,360.0,1.0,Semiurban,Y,3572.0
LP001157,Female,No,0,Graduate,No,120.0,360.0,1.0,Semiurban,Y,3086.0
LP001164,Female,No,0,Graduate,No,112.0,360.0,1.0,Semiurban,N,4230.0
LP001179,Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,N,4616.0
LP001186,Female,Yes,1,Graduate,Yes,286.0,360.0,0.0,Urban,N,11500.0
LP001194,Male,Yes,2,Graduate,No,97.0,360.0,1.0,Semiurban,Y,3875.0
LP001195,Male,Yes,0,Graduate,No,96.0,360.0,1.0,Semiurban,Y,3723.0
LP001197,Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,N,5566.0
LP001198,Male,Yes,1,Graduate,No,180.0,360.0,1.0,Urban,Y,10330.0
LP001199,Male,Yes,2,Not Graduate,No,144.0,360.0,1.0,Urban,Y,6216.0
LP001205,Male,Yes,0,Graduate,No,120.0,360.0,1.0,Urban,Y,6296.0
LP001206,Male,Yes,3,Graduate,No,99.0,360.0,1.0,Urban,Y,3029.0
